n,SHR,Vp_ms,Is50,UCS,RockType,Source
0.28,55.38,5865,8.35,139.04,Granit,Mishra2013
0.21,65.38,5836,10.85,177.37,Granit,Mishra2013
0.15,64.43,5945,10.02,167.17,Granit,Mishra2013
0.15,66.51,6047,9.92,176.75,Granit,Mishra2013
0.18,65.57,5905,11.73,160.82,Granit,Mishra2013
0.12,67.07,6250,14.13,198.15,Granit,Mishra2013
0.19,60.48,6030,10.63,148.34,Granit,Mishra2013
0.25,56.7,5491,6.93,117.95,Granit,Mishra2013
0.22,58.59,5753,8.49,134.76,Granit,Mishra2013
0.31,58.59,5422,7.87,124.89,Granit,Mishra2013
0.27,57.64,5514,8.41,138.22,Granit,Mishra2013
0.35,55.76,5428,7.85,130.06,Granit,Mishra2013
0.28,57.64,5911,5.99,122.74,Granit,Mishra2013
0.06,65.38,6214,11.36,182.33,Granit,Mishra2013
0.14,61.8,5729,9.23,150.42,Granit,Mishra2013
0.28,60.48,5566,6.92,127.47,Granit,Mishra2013
0.22,57.64,6030,9.72,158.69,Granit,Mishra2013
0.4,52.92,5384,5.66,91.48,Granit,Mishra2013
0.4,46.3,5993,3.93,37.97,Şist,Mishra2013
0.28,45.36,6188,3.58,47.05,Şist,Mishra2013
0.25,52.55,6074,4.49,49.22,Şist,Mishra2013
0.4,52.17,5172,4.03,47.05,Şist,Mishra2013
0.42,43.46,5820,3.17,26.55,Şist,Mishra2013
0.46,46.3,5445,3.48,33.31,Şist,Mishra2013
0.5,37.76,5116,1.52,22.83,Şist,Mishra2013
0.54,45.36,5675,3.07,32.07,Şist,Mishra2013
0.53,43.46,5882,3.27,39.06,Şist,Mishra2013
0.5,31.66,5685,2.45,42.38,Şist,Mishra2013
0.2,58.59,6250,7.42,95.14,Şist,Mishra2013
0.42,41.25,5850,3.47,35.57,Şist,Mishra2013
0.35,54.18,6145,4.85,60.82,Şist,Mishra2013
0.43,49.14,5882,2.96,49.08,Şist,Mishra2013
0.5,33.95,5321,1.15,21.36,Şist,Mishra2013
0.29,46.3,6145,6.06,70.47,Şist,Mishra2013
0.31,43.08,6043,4.25,42.95,Şist,Mishra2013
0.32,35.67,6024,3.24,49.33,Şist,Mishra2013
0.24,55.76,6179,6.63,84.44,Şist,Mishra2013
8.39,51.22,3935,5.8,53.63,Kumtaşı,Mishra2013
12.14,35.86,3389,4.5,19.66,Kumtaşı,Mishra2013
3.84,55.95,4441,8.38,110.66,Kumtaşı,Mishra2013
10.69,30.32,2795,1.25,22.04,Kumtaşı,Mishra2013
14.67,33.38,2985,2.99,17.55,Kumtaşı,Mishra2013
2.89,51.79,4672,6.75,96.26,Kumtaşı,Mishra2013
8.35,49.14,4219,6.21,63.78,Kumtaşı,Mishra2013
8.44,52.29,3508,4.47,44.05,Kumtaşı,Mishra2013
